iter	Passed	Remaining
1041	2260949	2078685
1042	2263305	2076685
1043	2265407	2074453
1044	2267619	2072322
1045	2270074	2070412
1046	2272588	2068555
1047	2274743	2066370
1048	2276992	2064270
1049	2279128	2062068
1050	2281250	2059854
1051	2283590	2057836
1052	2285715	2055624
1053	2288067	2053616
1054	2290252	2051458
1055	2292536	2049388
1056	2294678	2047191
1057	2296796	2044973
1058	2298866	2042713
1059	2301064	2040567
1060	2303339	2038488
1061	2305589	2036386
1062	2307772	2034226
1063	2309967	2032076
1064	2312136	2029903
1065	2314377	2027794
1066	2316676	2025735
1067	2318766	2023492
1068	2321081	2021446
1069	2323216	2019243
1070	2325344	2017035
1071	2327695	2015019
1072	2329659	2012669
1073	2331836	2010503
1074	2334040	2008360
1075	2336253	2006225
1076	2338470	2004093
1077	2340683	2001957
1078	2342948	1999866
1079	2344994	1997588
1080	2347037	1995307
1081	2349184	1993115
1082	2351333	1990926
1083	2353423	1988686
1084	2355652	1986563
1085	2357643	1984241
1086	2360052	1982270
1087	2362163	1980048
1088	2364288	1977838
1089	2366434	1975647
1090	2368531	1973414
1091	2370890	1971400
1092	2373330	1969451
1093	2375498	1967277
1094	2377660	1965098
1095	2379716	1962831
1096	2381901	1960671
1097	2383954	1958403
1098	2386020	1956145
1099	2388210	1953990
1100	2390429	1951858
1101	2392817	1949864
1102	2395122	1947801
1103	2397181	1945538
1104	2399449	1943445
1105	2401871	1941476
1106	2404160	1939399
1107	2406243	1937156
1108	2408551	1935094
1109	2410734	1932931
1110	2412825	1930695
1111	2414984	1928512
1112	2417092	1926290
1113	2419490	1924298
1114	2421633	1922103
1115	2423849	1919967
1116	2425990	1917770
1117	2428160	1915596
1118	2430313	1913410
1119	2432500	1911250
1120	2434605	1909026
1121	2436804	1906875
1122	2438941	1904676
1123	2441206	1902577
1124	2443335	1900372
1125	2445597	1898270
1126	2447781	1896107
1127	2449927	1893915
1128	2452082	1891730
1129	2454219	1889531
1130	2456257	1887257
1131	2458414	1885074
1132	2460624	1882931
1133	2463301	1881145
1134	2465437	1878945
1135	2467696	1876839
1136	2469824	1874634
1137	2472169	1872592
1138	2474536	1870566
1139	2476741	1868418
1140	2478899	1866235
1141	2480929	1863956
1142	2483084	1861770
1143	2485298	1859628
1144	2487572	1857532
1145	2489795	1855397
1146	2492066	1853297
1147	2494265	1851145
1148	2496427	1848963
1149	2498496	1846715
1150	2500692	1844559
1151	2502780	1842324
1152	2504984	1840174
1153	2507218	1838047
1154	2509481	1835940
1155	2511550	1833692
1156	2513651	1831467
1157	2516075	1829478
1158	2518205	1827274
1159	2520423	1825134
1160	2522788	1823100
1161	2524920	1820898
1162	2527278	1818858
1163	2529555	1816759
1164	2531851	1814674
1165	2533945	1812444
1166	2536153	1810296
1167	2538359	1808146
1168	2540485	1805939
1169	2542669	1803774
1170	2544847	1801604
1171	2547086	1799477
1172	2549172	1797243
1173	2551207	1794972
1174	2553323	1792759
1175	2555661	1790701
1176	2557749	1788469
1177	2559935	1786304
1178	2562159	1784166
1179	2564373	1782021
1180	2566531	1779838
1181	2568610	1777600
1182	2570765	1775414
1183	2572944	1773245
1184	2575128	1771079
1185	2577318	1768918
1186	2579479	1766736
1187	2581796	1764662
1188	2584052	1762545
1189	2586225	1760371
1190	2588714	1758413
1191	2590931	1756268
1192	2593040	1754051
1193	2595308	1751941
1194	2597589	1749840
1195	2599693	1747619
1196	2601873	1745450
1197	2604029	1743264
1198	2606133	1741044
1199	2608384	1738922
1200	2610451	1736678
1201	2612644	1734518
1202	2615035	1732487
1203	2617215	1730318
1204	2619641	1728311
1205	2621936	1726217
1206	2624194	1724097
1207	2626426	1721961
1208	2628538	1719746
1209	2630661	1717539
1210	2632784	1715331
1211	2634950	1713152
1212	2636990	1710891
1213	2639237	1708765
1214	2641384	1706573
1215	2643649	1704458
1216	2645801	1702269
1217	2647915	1700057
1218	2650024	1697841
1219	2652107	1695610
1220	2654442	1693538
1221	2656508	1691296
1222	2658742	1689160
1223	2661040	1687064
1224	2663208	1684886
1225	2665473	1682770
1226	2667550	1680535
1227	2669859	1678446
1228	2671965	1676229
1229	2674235	1674114
1230	2676358	1671909
1231	2678420	1669664
1232	2680702	1667557
1233	2683240	1665609
1234	2685492	1663483
1235	2687633	1661288
1236	2689903	1659172
1237	2691978	1656936
1238	2694127	1654746
1239	2696173	1652493
1240	2698286	1650281
1241	2700603	1648194
1242	2702760	1646009
1243	2705114	1643944
1244	2707116	1641665
1245	2709249	1639465
1246	2711342	1637242
1247	2713483	1635047
1248	2715581	1632827
1249	2718065	1630839
1250	2720150	1628611
1251	2722370	1626463
1252	2724564	1624301
1253	2726727	1622120
1254	2728973	1619988
1255	2731185	1617835
1256	2733315	1615635
1257	2735464	1613445
1258	2737635	1611268
1259	2739911	1609154
